number,educ,gender,idnumber,jobcat,logsal,logsalbegin,minority,salary,salbegin
1,15,1,1,3,10.95080655,10.20359215,0,57000,27000
2,16,1,2,1,10.60162227,9.838949031,0,40200,18750
3,12,0,3,1,9.973479924,9.392661929,0,21450,12000
4,8,0,4,1,9.994241916,9.487972109,0,21900,13200
5,15,1,5,1,10.71441777,9.952277717,0,45000,21000
6,15,1,6,1,10.37661131,9.510444964,0,32100,13500
7,15,1,7,1,10.49127422,9.838949031,0,36000,18750
8,12,0,8,1,9.994241916,9.185022564,0,21900,9750
9,15,0,9,1,10.23638197,9.453286551,0,27900,12750
10,12,0,10,1,10.08580911,9.510444964,0,24000,13500
11,16,0,11,1,10.31890299,9.71111566,0,30300,16500
12,8,1,12,1,10.25238231,9.392661929,1,28350,12000
13,15,1,13,1,10.23099112,9.564512186,1,27750,14250
14,15,0,14,1,10.46595641,9.729134165,1,35100,16800
15,12,1,15,1,10.21464198,9.510444964,0,27300,13500
16,12,1,16,1,10.61643736,9.61580548,0,40800,15000
17,15,1,17,1,10.73639668,9.564512186,0,46000,14250
18,16,1,18,3,11.54973944,10.22230485,0,103750,27510
19,12,1,19,1,10.65254237,9.564512186,0,42300,14250
20,12,0,20,1,10.17542127,9.354440716,0,26250,11550
21,16,0,21,1,10.56746336,9.61580548,0,38850,15000
22,12,1,22,1,9.987369037,9.453286551,1,21750,12750
23,15,0,23,1,10.08580911,9.314700387,1,24000,11100
24,12,0,24,1,9.738023113,9.104979856,1,16950,9000
25,15,0,25,1,9.959395184,9.104979856,1,21150,9000
26,15,1,26,1,10.34335409,9.441452093,0,31050,12600
27,19,1,27,3,11.00833039,10.22121375,0,60375,27480
28,15,1,28,1,10.39053265,9.564512186,0,32550,14250
29,19,1,29,3,11.81303006,11.28953188,0,135000,79980
30,15,1,30,1,10.34817337,9.564512186,0,31200,14250
31,12,1,31,1,10.49543223,9.564512186,0,36150,14250
32,19,1,32,3,11.61390138,10.71441777,0,110625,45000
33,15,1,33,1,10.6454249,9.61580548,0,42000,15000
34,19,1,34,3,11.42954386,10.5963847,0,92000,39990
35,17,1,35,3,11.3052861,10.30895266,0,81250,30000
36,8,0,36,1,10.35296955,9.328123408,0,31350,11250
37,12,1,37,1,10.27849345,9.510444964,1,29100,13500
38,15,1,38,1,10.35296955,9.61580548,1,31350,15000
39,16,1,39,1,10.49127422,9.61580548,1,36000,15000
40,15,0,40,1,9.862665558,9.104979856,1,19200,9000
41,12,0,41,1,10.0668811,9.354440716,1,23550,11550
